Ключевое слово,Страница,Сеансы,"Новые сеансы, %",Новые пользователи,Показатель отказов,Страниц/сеанс,Сред. длительность сеанса,Коэффициент транзакций,Транзакции,Доход
(not provided),/tag/podguzniki_i_pelenki/podguzniki/rasprodazhi_i_akcii.html,3 826,"80,79 %",3 091,"64,24 %","1,18",00:02:35,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/rasprodazhi_i_akcii.html/,3 053,"80,90 %",2 470,"53,13 %","1,17",00:03:07,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki/rasprodazhi_i_akcii.html,2 711,"65,44 %",1 774,"68,24 %","1,18",00:02:43,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,2 420,"79,05 %",1 913,"65,45 %","1,27",00:01:54,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/29798.html,2 306,"2,21 %",51,"53,86 %","18,22",00:05:18,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/podguzniki/29798.html,2 154,"0,60 %",13,"57,06 %","21,50",00:05:13,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/29798.html,2 103,"1,81 %",38,"54,21 %","18,07",00:05:50,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/moony/pampersy.html,2 014,"69,81 %",1 406,"71,10 %","1,15",00:01:09,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/merries.html,1 989,"72,60 %",1 444,"71,34 %","1,10",00:01:13,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,1 976,"84,62 %",1 672,"64,12 %","1,10",00:02:01,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_huggies.html,1 710,"82,22 %",1 406,"65,96 %","1,22",00:01:52,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/kakie_pampersy_luchshe.html,1 609,"91,36 %",1 470,"75,57 %","1,21",00:01:40,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_pampers.html/,1 558,"81,32 %",1 267,"69,13 %","1,13",00:01:06,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/merries,1 457,"76,53 %",1 115,"71,31 %","1,15",00:01:35,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki,1 292,"1,93 %",25,"57,82 %","19,64",00:06:06,"0,00 %",0,"0,00 руб."
(not set),/tag/detskoe_pitanie/detskie_smesi/kakaja_luchshe.html,1 267,"85,00 %",1 077,"61,01 %","1,68",00:02:49,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki,1 204,"4,24 %",51,"62,04 %","13,92",00:04:49,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/nutricia_nutrilon/smesi.html,1 191,"76,57 %",912,"49,96 %","1,87",00:01:54,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html/,1 115,"71,57 %",798,"60,18 %","1,27",00:01:46,"0,00 %",0,"0,00 руб."
(not set),/catalog/kolyaski/29982.html,1 090,"0,00 %",0,"50,00 %","14,53",00:11:03,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/internet_magazin.html,975,"54,56 %",532,"38,97 %","1,17",00:06:08,"0,00 %",0,"0,00 руб."
памперсы для новорожденных,/tag/podguzniki_i_pelenki/pampersy_dlja_novorozhdennyh.html,950,"76,00 %",722,"66,63 %","1,21",00:01:42,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/pampers,937,"82,50 %",773,"51,33 %","1,49",00:03:21,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/detskoe-pitanie/28934.html,937,"0,00 %",0,"5,44 %","38,87",00:10:43,"0,00 %",0,"0,00 руб."
(not set),/catalog/molochnye-smesi/29065.html,887,"0,00 %",0,"41,38 %","23,24",00:08:37,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/moony/pampersy.html,887,"49,94 %",443,"75,65 %","1,07",00:01:06,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/merries.html/,861,"73,52 %",633,"69,11 %","1,07",00:01:08,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/huggies,849,"85,04 %",722,"53,71 %","1,28",00:02:08,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/molochnye-smesi/29065.html,849,"0,00 %",0,"58,19 %","23,46",00:03:38,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/detskie_smesi/kakaja_luchshe.html,811,"87,42 %",709,"70,28 %","1,37",00:01:48,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/merries,811,"67,20 %",545,"73,37 %","1,16",00:00:48,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/podguzniki,811,"1,60 %",13,"60,91 %","15,95",00:04:51,"0,00 %",0,"0,00 руб."
(not provided),/tag/brendy/tovary_avent.html,773,"91,72 %",709,"41,01 %","1,52",00:02:50,"0,00 %",0,"0,00 руб."
(not provided),/tag/odezhda/litl_mi_grupp.html,760,"80,00 %",608,"71,71 %","1,15",00:01:19,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pampers/premium_care.html/,760,"75,00 %",570,"68,29 %","1,22",00:01:21,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_pampers.html,760,"83,29 %",633,"68,29 %","1,37",00:01:27,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/pampers-sleep-and-play,760,"91,71 %",697,"60,00 %","1,08",00:01:08,"0,00 %",0,"0,00 руб."
(not provided),/catalog/molochnye-smesi/29065.html,709,"0,00 %",0,"48,24 %","21,75",00:05:15,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/pampers-sleep-and-play,709,"91,11 %",646,"75,04 %","1,11",00:00:51,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pampers/sleep_and_play.html,684,"74,12 %",507,"79,68 %","1,13",00:00:29,"0,00 %",0,"0,00 руб."
(not provided),/catalog/kolyaski/29982.html,671,"0,00 %",0,"54,69 %","19,35",00:09:25,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki-i-pelenki/29777.html,659,"0,00 %",0,"25,04 %","29,28",00:06:19,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/nochnye.html,659,"74,96 %",494,"65,40 %","1,23",00:01:42,"0,00 %",0,"0,00 руб."
(not set),/catalog/molochnye-smesi,646,"15,63 %",101,"39,16 %","11,85",00:06:26,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pelenki.html,633,"86,10 %",545,"72,04 %","1,10",00:02:08,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_dlja_nedonoshenyh.html,633,"78,04 %",494,"60,03 %","1,16",00:05:36,"0,00 %",0,"0,00 руб."
(not provided),/tag/tovary_po_proizvoditelju/japonija.html,633,"72,04 %",456,"48,03 %","1,24",00:03:05,"0,00 %",0,"0,00 руб."
(not set),/catalog/igrushki-dlya-malyshey,633,"0,00 %",0,"78,04 %","15,91",00:03:02,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki_huggies.html,633,"81,99 %",519,"63,98 %","1,18",00:01:45,"0,00 %",0,"0,00 руб."
авент официальный сайт,/tag/brendy/tovary_avent.html,621,"63,29 %",393,"32,69 %","1,22",00:03:41,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/podguzniki-i-pelenki/29777.html,621,"0,00 %",0,"22,38 %","43,96",00:09:07,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/sredstva-dlya-kormleniya/29293.html,608,"0,00 %",0,"52,14 %","19,86",00:06:00,"0,00 %",0,"0,00 руб."
(not provided),/tag/vsjo_o_japonskih_podguznikah.html,583,"71,70 %",418,"71,70 %","1,22",00:01:04,"0,00 %",0,"0,00 руб."
(not provided),/catalog/detskoe-pitanie/28934.html,570,"4,39 %",25,"11,05 %","40,63",00:10:44,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/pampers/sleep_and_play.html,570,"88,95 %",507,"77,72 %","1,20",00:00:52,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/pampersy_dlja_novorozhdennyh.html,570,"73,33 %",418,"64,39 %","1,20",00:01:44,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/pyure/29150.html,570,"0,00 %",0,"51,05 %","32,18",00:06:48,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pampersy_dlja_novorozhdennyh.html,557,"91,02 %",507,"72,71 %","1,14",00:01:51,"0,00 %",0,"0,00 руб."
(not set),/tag/igraj_i_razvivajsya/tovary_tiny_love.html,557,"79,53 %",443,"75,04 %","1,09",00:00:41,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/kakie_pampersy_luchshe.html/,545,"88,26 %",481,"67,34 %","1,21",00:01:29,"0,00 %",0,"0,00 руб."
(not set),/catalog/avtokresla/29891.html,545,"0,00 %",0,"18,53 %","11,92",00:23:16,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/merries/nedorogo.html,545,"62,75 %",342,"69,72 %","1,21",00:02:31,"0,00 %",0,"0,00 руб."
(not provided),/catalog/pyure/29150.html,532,"2,44 %",13,"33,27 %","29,70",00:13:17,"0,00 %",0,"0,00 руб."
(not set),/catalog/detskoe-pitanie/28934.html,532,"2,44 %",13,"26,13 %","24,27",00:06:18,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/pampers,532,"85,71 %",456,"38,16 %","1,48",00:04:16,"0,00 %",0,"0,00 руб."
(not provided),/catalog/molochnye-smesi,519,"65,90 %",342,"61,08 %","10,37",00:04:18,"0,00 %",0,"0,00 руб."
молочная смесь нан от 6 мем,/catalog/gigiena-i-uhod/28627.html,519,"0,00 %",0,"12,14 %","1,17",00:10:33,"0,00 %",0,"0,00 руб."
(not set),/catalog/detskiy-transport/29962.html,507,"2,56 %",13,"10,06 %","19,59",00:13:28,"0,00 %",0,"0,00 руб."
(not provided),/catalog/dlya-novorogdennyh/105926_16362.html?page=2,494,"0,00 %",0,"94,94 %","1,80",00:00:37,"0,00 %",0,"0,00 руб."
(not set),/tag/detskoe_pitanie/frutonyanya.html,494,"87,25 %",431,"53,85 %","1,38",00:03:11,"0,00 %",0,"0,00 руб."
